"hospital","state"
"SOUTH PENINSULA HOSPITAL","AK"
"GEORGE H. LANIER MEMORIAL HOSPITAL","AL"
"VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR","AR"
"BANNER GOOD SAMARITAN MEDICAL CENTER","AZ"
"CENTINELA HOSPITAL MEDICAL CENTER","CA"
"PARKER ADVENTIST HOSPITAL","CO"
"YALE-NEW HAVEN HOSPITAL","CT"
"PROVIDENCE HOSPITAL","DC"
"BAYHEALTH - KENT GENERAL HOSPITAL","DE"
"FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER","FL"
"DOCTORS HOSPITAL","GA"
"GUAM MEMORIAL HOSPITAL AUTHORITY","GU"
"KUAKINI MEDICAL CENTER","HI"
"MERCY MEDICAL CENTER - CEDAR RAPIDS","IA"
"SAINT ALPHONSUS MEDICAL CENTER - NAMPA","ID"
"RUSH UNIVERSITY MEDICAL CENTER","IL"
"ST CATHERINE HOSPITAL INC","IN"
"HAYS MEDICAL CENTER","KS"
"WESTLAKE REGIONAL HOSPITAL","KY"
"WILLIS KNIGHTON MEDICAL CENTER","LA"
"ST ELIZABETH'S MEDICAL CENTER","MA"
"MEDSTAR GOOD SAMARITAN HOSPITAL","MD"
"MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE","ME"
"HARPER UNIVERSITY HOSPITAL","MI"
"ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER","MN"
"NORTH KANSAS CITY HOSPITAL","MO"
"SOUTH CENTRAL REG MED CTR","MS"
"COMMUNITY MEDICAL CENTER INC","MT"
"FIRSTHEALTH MOORE REGIONAL HOSPITAL","NC"
"ST ALOISIUS MEDICAL CENTER","ND"
"NEBRASKA HEART HOSPITAL","NE"
"VALLEY REGIONAL HOSPITAL","NH"
"EAST ORANGE GENERAL HOSPITAL","NJ"
"LOVELACE REGIONAL HOSPITAL - ROSWELL","NM"
"MOUNTAINVIEW HOSPITAL","NV"
"KINGSBROOK JEWISH MEDICAL CENTER","NY"
"FAIRVIEW HOSPITAL","OH"
"DUNCAN REGIONAL HOSPITAL, INC","OK"
"PORTLAND VA MEDICAL CENTER","OR"
"PHILADELPHIA VA MEDICAL CENTER","PA"
"SAN LUKE'S MEMORIAL HOSPITAL INC","PR"
"WESTERLY HOSPITAL","RI"
"PALMETTO HEALTH BAPTIST","SC"
"AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC","SD"
"WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL","TN"
"FORT DUNCAN MEDICAL CENTER","TX"
"VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER","UT"
"SENTARA POTOMAC HOSPITAL","VA"
"GOV JUAN F LUIS HOSPITAL & MEDICAL CTR","VI"
"SPRINGFIELD HOSPITAL","VT"
"HARBORVIEW MEDICAL CENTER","WA"
"AURORA ST LUKES MEDICAL CENTER","WI"
"FAIRMONT GENERAL HOSPITAL","WV"
"CHEYENNE VA MEDICAL CENTER","WY"
