"hospital","state"
"YUKON KUSKOKWIM DELTA REG HOSPITAL","AK"
"MARSHALL MEDICAL CENTER NORTH","AL"
"STONE COUNTY MEDICAL CENTER","AR"
"MAYO CLINIC HOSPITAL","AZ"
"CEDARS-SINAI MEDICAL CENTER","CA"
"EXEMPLA LUTHERAN MEDICAL CENTER","CO"
"SAINT MARYS HOSPITAL","CT"
"WASHINGTON HOSPITAL CENTER","DC"
"BEEBE MEDICAL CENTER","DE"
"MOUNT SINAI MEDICAL CENTER","FL"
"PIEDMONT FAYETTE HOSPITAL","GA"
"GUAM MEMORIAL HOSPITAL AUTHORITY","GU"
"PALI MOMI MEDICAL CENTER","HI"
"MARY GREELEY MEDICAL CENTER","IA"
"ST LUKES WOOD RIVER MEDICAL CENTER","ID"
"LAKE FOREST HOSPITAL","IL"
"INDIANA UNIVERSITY HEALTH","IN"
"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS","KS"
"CASEY COUNTY HOSPITAL","KY"
"WILLIS KNIGHTON MEDICAL CENTER","LA"
"FALMOUTH HOSPITAL","MA"
"GREATER BALTIMORE MEDICAL CENTER","MD"
"MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE","ME"
"BEAUMONT HOSPITAL, GROSSE POINTE","MI"
"MERCY HOSPITAL","MN"
"LIBERTY HOSPITAL","MO"
"GREENWOOD LEFLORE HOSPITAL","MS"
"BENEFIS HOSPITALS INC","MT"
"REX HOSPITAL","NC"
"MERCY HOSPITAL OF VALLEY CITY","ND"
"BOX BUTTE GENERAL HOSPITAL","NE"
"EXETER HOSPITAL INC","NH"
"ENGLEWOOD HOSPITAL AND MEDICAL CENTER","NJ"
"LOVELACE WESTSIDE HOSPITAL","NM"
"SPRING VALLEY HOSPITAL MEDICAL CENTER","NV"
"MAIMONIDES MEDICAL CENTER","NY"
"GRANDVIEW HOSPITAL & MEDICAL CENTER","OH"
"HILLCREST HOSPITAL CUSHING","OK"
"PORTLAND VA MEDICAL CENTER","OR"
"KANE COMMUNITY HOSPITAL","PA"
"HOSPITAL ORIENTE","PR"
"NEWPORT HOSPITAL","RI"
"CAROLINA PINES REGIONAL MEDICAL CENTER","SC"
"SIOUX FALLS VA MEDICAL CENTER","SD"
"UNITED REGIONAL MEDICAL CENTER","TN"
"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","TX"
"LDS HOSPITAL","UT"
"NORTON COMMUNITY HOSPITAL","VA"
"GOV JUAN F LUIS HOSPITAL & MEDICAL CTR","VI"
"RUTLAND REGIONAL MEDICAL CENTER","VT"
"EVERGREEN HOSPITAL MEDICAL CENTER","WA"
"BELLIN MEMORIAL HSPTL","WI"
"WEIRTON MEDICAL CENTER","WV"
"CHEYENNE VA MEDICAL CENTER","WY"
